ano,id_municipio,id_municipio_nome,id_escola,id_aluno,caderno,serie,rede,presenca,preenchimento_caderno,alfabetizado,proficiencia,peso_aluno
2024,3550308,São Paulo,60030548,35359686,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,739.9622943,1.25
2023,4128807,Xambrê,60032336,41126717,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,770.3583011,0.8521198
2024,1508159,Uruará,60003293,15085379,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,769.53,1.14
2023,2303956,Chorozinho,60007952,23094364,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,822.1629004,1.1010753
2023,3205309,Vitória,60023121,32048450,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,798.9943217,0.9097157
2024,3205200,Vila Velha,60023087,32045551,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,767.44,1.14
2024,2507507,João Pessoa,60011012,25000140,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,787.11,1.25
2023,5103403,Cuiabá,60041014,51013320,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,2702306,Coruripe,60014238,27001865,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,854.5319967,1.2090909
2023,3154606,Ribeirão das Neves,60018560,31000428,10,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Sim,839.4948695,7.6314809
2024,3205002,Serra,60022645,32044841,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,3304557,Rio de Janeiro,60025110,33099142,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,681.6469,1.301394
2023,1302603,Manaus,60001183,13021750,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,745.118244,1.4578624
2024,2211001,Teresina,60006560,22010922,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,773.31,1.16
2023,2307650,Maracanaú,60008213,23026961,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,807.9512085,1.08
2024,4209102,Joinville,60035886,42053613,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,791.65,1.5
2023,4211900,Palhoça,60036139,42075643,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,648.4042936,1.4309637
2023,3154903,Rio Casca,60020058,31079534,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,787.9628,0.6721635
2024,4220000,Balneário Rincão,60035867,42026090,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,688.4,1.17
2023,2104404,Gonçalves Dias,60005511,21051601,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,837.8803956,0.825401
2024,1500404,Alenquer,60001598,15003731,10,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,4104659,Carambeí,60034717,41110745,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,790.2614,1.052963
2024,1500107,Abaetetuba,60003308,15001006,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,678.15,1.19
2024,3515004,Embu das Artes,60026216,35330146,11,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,697.6097245,1.1052632
2023,2919553,Luís Eduardo Magalhães,60017707,29047774,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,750.5000274,1.1174694
2024,3518800,Guarulhos,60031786,35272548,10,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Sim,766.1684435,1.0769231
2024,4105805,Colombo,60033459,41021623,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,730.89,1.21
2024,3120003,Córrego Novo,60018398,31125231,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,764.74,1.06
2024,2110302,Santo Antônio dos Lopes,60005061,21047864,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,779.73,1.15
2023,2110203,Santa Rita,60006039,21018535,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,699.7462487,0.8805298
2023,4314407,Pelotas,60038362,43098257,1,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,692.1555647,1.1856689
2024,3518800,Guarulhos,60030894,35268784,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,767.4745456,1.1034483
2023,3169307,Três Corações,60021407,31180771,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,735.6277,1.106216
2024,2921708,Morro do Chapéu,60017234,29155408,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,688.46,1.0
2024,1501956,Cachoeira do Piriá,60003018,15020733,11,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2100436,Alto Alegre do Maranhão,60004998,21067886,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,665.89,1.0
2023,2210938,Sussuapara,60006809,22021902,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,818.1801523,1.1512315
2024,2902708,Barra,60014844,29012217,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,786.98,1.0
2024,2500700,São João do Rio do Peixe,60011278,25032445,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,748.91,1.09
2024,3302403,Macaé,60023344,33041810,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,804.24,1.11
2024,3531803,Monte Mor,60030740,35054271,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2607950,Jaqueira,60013147,26023357,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,736.87,1.0
2024,1502400,Castanhal,60002067,15026339,11,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3300506,Bom Jardim,60023413,33009606,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,3303906,Petrópolis,60025787,33070558,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,721.193,1.335171
2024,4106902,Curitiba,60033521,41130331,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,3303500,Nova Iguaçu,60024816,33066176,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,688.039906,1.0436368
2024,3550308,São Paulo,60031773,35435864,12,2° ano do Ensino Fundamental,Estadual,Ausente,Prova não preenchida,Não,,
2024,3157807,Santa Luzia,60018315,31185490,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,3304557,Rio de Janeiro,60025128,33118564,10,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,4106902,Curitiba,60033956,41045807,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,778.3055553,1.4045729
2024,5002704,Campo Grande,60039990,50008922,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,719.47,1.2
2024,1200104,Brasiléia,60000535,12000564,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,774.49,1.23
2023,3303500,Nova Iguaçu,60024752,33060709,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,758.7211,1.077456
2023,2913705,Inhambupe,60015970,29068479,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,687.3291875,1.1712585
2023,2410256,Porto do Mangue,60009762,24027128,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,755.7838,1.262002
2024,3517802,Guaraçaí,60027450,35006815,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,781.5392356,1.1818182
2024,2607901,Jaboatão dos Guararapes,60012343,26038869,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,781.68,1.04
2023,3120607,Crucilândia,60018631,31035150,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,724.4927367,1.080735
2023,1501782,Breu Branco,60002884,15042802,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,789.9819503,0.9880836
2023,3127701,Governador Valadares,60019084,31021694,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,777.1367781,1.1456997
2024,3549904,São José dos Campos,60027583,35190788,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,733.8587659,1.1071429
2024,3304557,Rio de Janeiro,60024926,33120232,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,772.58,1.04
2024,2507200,Itatuba,60010864,25008357,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,772.32,1.13
2023,2803500,Lagarto,60014537,28079065,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,712.12,1.6
2023,2211001,Teresina,60006512,22034449,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2927408,Salvador,60016129,29210741,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,799.26,1.0
2024,4128104,Umuarama,60031903,41043025,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,836.92,1.38
2024,2610707,Paulista,60012431,26031526,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,762.87,1.0
2023,4313706,Palmeira das Missões,60038212,43054743,10,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,742.5867487,1.2899036
2024,2800670,Boquim,60014404,28007577,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,756.24,1.0
2023,2513703,Santa Rita,60011508,25010414,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,4204004,Catanduvas,60036199,42053891,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,687.9227331,1.8954191
2023,3303500,Nova Iguaçu,60026052,33062222,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3550308,São Paulo,60026798,35336472,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,714.0471078,1.1111111
2024,4202404,Blumenau,60034733,42010040,12,2° ano do Ensino Fundamental,Estadual,Ausente,Prova não preenchida,Não,,
2023,1506609,Santa Maria do Pará,60002106,15094587,11,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,4127700,Toledo,60033083,41138497,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,670.2307,1.026955
2024,3550308,São Paulo,60027049,35422033,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,821.514298,1.0714286
2023,1501402,Belém,60003008,15026954,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,746.3644918,1.5102592
2023,1600204,Calçoene,60003519,16000207,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,660.7030166,1.0569106
2024,2203909,Floriano,60007039,22032202,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,740.33,1.0
2024,4122404,Rolândia,60032261,41073968,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,789.76,1.15
2024,4313375,Nova Santa Rita,60036775,43029776,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,683.8938432,1.2666667
2024,3106200,Belo Horizonte,60017983,31000115,1,2° ano do Ensino Fundamental,Estadual,Ausente,Prova não preenchida,Não,,
2023,5219753,Santo Antônio do Descoberto,60042589,52078203,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,740.7759341,1.4113471
2023,2104800,Grajaú,60005008,21054813,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,693.7523884,1.0763798
2023,2304657,Graça,60007533,23082313,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,825.9575454,0.9655172
2023,4109401,Guarapuava,60034443,41070982,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,761.4854188,1.1793182
2024,4213807,Praia Grande,60035406,42001568,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,804.79,1.43
2023,4307708,Esteio,60037649,43065331,10,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3503208,Araraquara,60031564,35013387,1,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Sim,796.360933,1.0
2023,3151800,Poços de Caldas,60020011,31127664,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,1500107,Abaetetuba,60003019,15000209,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,760.320558,1.0032849
2023,1100304,Vilhena,60000267,11018262,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,777.888424,0.9241573
2024,3554102,Taubaté,60031377,35226917,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,821.514298,1.2
2024,3300456,Belford Roxo,60023997,33008663,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,745.3,1.16
2023,3106200,Belo Horizonte,60018463,31095726,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,812.7803493,0.9004145
2023,5221858,Valparaíso de Goiás,60042017,52072042,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,730.0371939,1.1224109
2023,2611101,Petrolina,60013346,26079054,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,798.6735196,1.4327856
2023,1300631,Beruri,60001351,13003981,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,750.5856259,1.2591261
2023,3203007,Iúna,60023197,32045281,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,804.096018,1.0978379
2024,3529401,Mauá,60031627,35292162,11,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,708.0113404,1.1153846
2024,5103403,Cuiabá,60040391,51039156,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,748.81,1.22
2024,3106200,Belo Horizonte,60018048,31074819,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,696.2,1.04
2024,5005004,Jardim,60039801,50026645,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,729.27,1.04
2024,3304557,Rio de Janeiro,60025618,33133715,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,791.65,1.07
2024,3549805,São José do Rio Preto,60031140,35185482,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,753.4467067,1.3333333
2024,3552403,Sumaré,60028767,35216435,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,821.514298,1.1153846
2024,3204906,São Mateus,60022398,32029732,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3201308,Cariacica,60022596,32019733,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,791.8,1.13
2023,3120904,Curvelo,60020203,31205495,11,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2307650,Maracanaú,60009170,23009406,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,827.23,1.0
2023,4101507,Arapongas,60034741,41002581,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,5201405,Aparecida de Goiânia,60041070,52015493,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,738.76,1.11
2023,5002704,Campo Grande,60040262,50467030,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,706.33,1.0
2024,3550308,São Paulo,60031738,35399936,11,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Sim,800.7592599,1.1363636
2023,2104677,Governador Nunes Freire,60004607,21024836,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,749.11554,1.0368346
2023,1100023,Ariquemes,60000078,11000918,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,829.0815384,1.068932
2023,3105608,Barbacena,60018696,31026172,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,755.7636,1.105614
2024,3527207,Lorena,60027646,35069673,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,758.8633691,1.0952381
2023,2604106,Caruaru,60012060,26003191,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,777.447177,1.3546366
2023,4207502,Indaial,60036377,42041967,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,2908705,Condeúba,60016832,29080314,12,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,745.5740925,0.8182396
2023,5107909,Sinop,60040826,51037099,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,689.52,1.74
2024,4204202,Chapecó,60035136,42023540,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,4212007,Palma Sola,60036444,42086662,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,731.7575407,1.2230459
2024,2112803,Viana,60004661,21059092,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,742.49,1.09
2024,3201902,Domingos Martins,60022504,32044111,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,780.53,1.12
2024,3305802,Teresópolis,60023893,33090327,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,743.64,1.05
2024,3549805,São José do Rio Preto,60028648,35183609,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,685.2553526,1.1818182
2023,2411502,Santo Antônio,60010040,24022952,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3543907,Rio Claro,60029724,35114534,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2510808,Patos,60010469,25029241,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,776.45,1.16
2023,2304400,Fortaleza,60008164,23008609,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,790.1332916,1.1364709
2024,2704302,Maceió,60013891,27013046,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,672.9,1.06
2024,2804201,Monte Alegre de Sergipe,60014067,28019270,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,703.45,1.04
2024,3517406,Guaíra,60030067,35021004,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,694.1882417,1.0
2024,3503703,Ariranha,60028785,35059197,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,730.0572815,1.25
2023,2612505,Santa Cruz do Capibaribe,60013452,26007311,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,779.7932538,1.046689
2023,2111201,São José de Ribamar,60004242,21003504,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,5106752,Pontes e Lacerda,60040693,51016425,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,3162005,São Gonçalo do Sapucaí,60020585,31005736,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,739.9189249,1.078417
2023,2904100,Boquira,60017403,29050815,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,750.5232852,0.8268618
2024,2305233,Horizonte,60008211,23083415,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,1302603,Manaus,60000881,13048576,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2201200,Barras,60006262,22003397,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,816.27,1.1
2023,3304557,Rio de Janeiro,60024976,33132880,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,736.5627,1.11151
2023,3301702,Duque de Caxias,60024534,33158304,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,797.9698,1.07914
2023,1503044,Floresta do Araguaia,60002676,15040921,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,736.1649492,1.1829013
2023,3301702,Duque de Caxias,60024508,33029111,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,5200308,Alexânia,60042777,52010594,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,777.667355,1.0651023
2024,4106902,Curitiba,60034072,41127050,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,737.08,1.07
2024,3301009,Campos dos Goytacazes,60023232,33020343,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,727.55,1.62
2023,2402600,Ceará-Mirim,60010084,24024382,1,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Sim,759.619,1.2
2023,5108303,União do Sul,60040819,51041787,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,710.4,1.11
2024,3550308,São Paulo,60025836,35372856,1,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,649.9943963,1.0344828
2023,3131307,Ipatinga,60020744,31074957,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,750.5424,0.8731652
2023,2907806,Cícero Dantas,60018096,29066166,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,674.7463783,1.3422874
2024,4207007,Içara,60034659,42029803,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,735.6,1.6
2024,4311403,Lajeado,60037509,43044141,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,613.3798764,1.0952381
2024,3148004,Patos de Minas,60019580,31019778,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,678.42,1.09
2023,1302603,Manaus,60001221,13045682,10,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,2501708,Barra de São Miguel,60010580,25011965,11,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,5003751,Eldorado,60039914,50027348,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,718.68,1.07
2024,3201308,Cariacica,60022567,32017827,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,743.24,1.29
2023,3169703,Turmalina,60021260,31076347,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,780.7651,0.8552714
2023,4206504,Guaramirim,60036031,42039951,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,745.4476279,1.2740676
2024,4309308,Guaíba,60037326,43036681,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,722.4462908,1.0434783
2024,4322509,Vacaria,60039026,43100698,10,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,684.0013107,1.0833333
2023,2600302,Agrestina,60012327,26000119,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,773.9623343,1.0731051
2024,5208707,Goiânia,60041792,52007580,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,756.65,1.04
2023,2905404,Cairu,60017869,29025478,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,750.0065087,1.5587262
2024,3548708,São Bernardo do Campo,60029030,35319297,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,646.2238082,1.0869565
2023,1502400,Castanhal,60002829,15037899,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,737.3776984,1.1428703
2024,3304524,Rio das Ostras,60023469,33075447,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,815.96,1.25
2023,2912905,Ibirataia,60017127,29089924,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,746.5072755,1.3816977
2024,3525706,José Bonifácio,60026437,35097882,11,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,726.8973251,1.0
2023,3304557,Rio de Janeiro,60025172,33087431,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,730.8914,1.207636
2023,4117503,Paiçandu,60034530,41095703,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
